id,N0,B1,B2,K,F,S,nLL,delta
95,98.1344800840039,163.081558705653,1.51344212437044e-11,0.258666742181408,5.45944454801122e-06,1.8518562002876,45.1880889089562,0
15,8.46455662256854,158.194409822031,1.72966211928518e-11,0.0920861364578494,1.80851745356787e-05,2.1338920296833,49.3184543361442,4.13036542718798
5,99.2185488962836,191.222270876057,4.40266509152229e-11,0.13167025852497,3.39700630532266e-05,2.82076256680414,55.0430752650112,9.85498635605504
20,86.8727486098775,124.34750128527,4.38140456456727e-12,0.0801481236063954,1.07472584768027e-05,4.9678039385561,63.8104186689671,18.6223297600109
34,84.3875546533317,149.462821823117,1.86502033972313e-12,0.174263788454883,3.70430648091195e-05,4.71089080009748,65.7071926242776,20.5191037153214
72,5.56074853159613,138.474734573708,6.42750893767079e-12,0.0935824030098082,2.64655249734658e-05,4.43502426426168,66.7742579427532,21.586169033797
93,59.7984743164418,127.93117889705,5.23018500010822e-11,0.189046362778066,1.56859208860781e-05,5.85683237223977,68.1731709053261,22.9850819963699
88,27.444161914189,201.810258502364,4.51471391829116e-11,0.154775795754145,7.89106046528656e-06,6.01803445039616,68.5100642977914,23.3219753888352
58,34.3869237611392,121.349253645377,4.20396765119956e-11,0.125538961803931,2.55619819713024e-05,6.30496935003621,70.6087560104437,25.4206671014875
64,17.5944379140612,207.848350916578,1.34669563686606e-11,0.426222876260026,6.94208147836877e-06,4.12483623379672,70.827389214764,25.6393003058078
50,4.90916574850186,122.146807419351,2.26128995016031e-11,0.194375437541577,2.8280145156588e-05,3.85512526385088,70.9870384182461,25.7989495092899
62,37.4990008588013,136.591819901663,3.27070590566551e-11,0.0776894199694025,1.85634766088465e-05,6.7940417809536,71.4601356090736,26.2720467001174
83,20.5412390547001,183.065508487402,1.5830581151585e-11,0.336792316402338,1.42592673331255e-06,7.03676867996766,72.7244423951115,27.5363534861553
96,63.4734523353783,169.269854076811,5.69642074614396e-11,0.379552390820874,1.03938282829484e-05,5.06220005005162,73.3753427740662,28.18725386511
29,90.2537305662636,141.971809237013,5.80569281693048e-12,0.107496579176563,4.58267905992459e-05,6.91703044712,74.847011007655,29.6589220986988
44,73.0219419068665,196.364280741226,2.38255795085848e-11,0.0573536220449927,2.37147580300802e-05,7.86327385312985,74.934602411737,29.7465135027808
6,89.7525809690076,154.869946727727,7.71813167229776e-12,0.144156360891983,2.87108824750365e-05,7.77611556968011,75.0562624025192,29.868173493563
100,6.15135351819146,198.720922872797,1.40333593200812e-11,0.0320920908988146,2.48927728431542e-05,5.22084174507211,75.4823388241791,30.2942499152229
19,92.9949366878141,184.449235640792,1.94929613013071e-11,0.0695529924245277,3.60501461234467e-05,8.40492816295509,77.1552345812929,31.9671456723367
76,74.2150701672862,195.183889147544,3.49592936204656e-11,0.227929999170521,3.5345415952125e-05,8.9870464034917,78.4761398592452,33.288050950289
49,80.6269201999644,143.356698467817,4.67199295818517e-11,0.260940355808927,4.18860990011599e-05,8.0544489334785,78.5890577969408,33.4009688879846
81,3.33240021987744,209.896135915301,2.43031837180055e-12,0.231870420250006,1.342100276178e-05,9.38108647278274,78.9595571120378,33.7714682030816
10,84.0786361787584,147.44431330763,4.77960694844924e-11,0.157551467377659,3.1479606953409e-05,9.43495518582671,79.8190412020806,34.6309522931244
42,75.9257302877134,135.782963447462,1.14231788966277e-11,0.28348295475191,1.70603277722453e-05,9.64546811768345,80.5448476785881,35.3567587696319
11,66.0333810091922,174.030039672939,5.56926528172408e-11,0.12191632053863,2.03049347259018e-05,9.89000823237279,80.5610693125402,35.3729804035839
75,62.3104641971312,145.369883866057,2.32840139354749e-11,0.291690844513703,2.06067383396311e-05,10.1353817914801,83.0516265579887,37.8635376490325
48,21.5449073496697,159.27018763908,4.44736345718004e-11,0.202857146671296,3.77178981042617e-05,10.6070635081619,83.0666087205691,37.8785198116129
79,79.6200642006916,206.957196034908,4.23080643985424e-11,0.035205118007242,4.07925452985506e-05,10.3479276106093,83.531152295082,38.3430633861258
16,47.8525671373535,214.675634489762,5.05052896449875e-11,0.247173557025901,4.69936447012304e-05,11.1577624962238,84.0361090958899,38.8480201869336
98,14.3393875754733,217.187411061807,1.63199560509557e-11,0.186152874910958,4.51667445265063e-05,11.7980670044929,85.2643303983173,40.076241489361
47,18.5443931455573,143.516101358177,9.26610326708964e-13,0.317864708625604,1.24693922263063e-05,12.0044319010052,86.0550229723558,40.8669340633996
21,29.0293165238466,200.736773954805,5.08742428553083e-11,0.208511644978185,3.25809836213165e-05,12.4411293006283,86.2282260170554,41.0401371080992
14,58.0990052326452,172.420764993719,4.60597233061416e-11,0.0497190268541036,3.0414702593824e-05,12.2810388064272,86.2738839567453,41.0857950477891
1,15.5104144675827,179.878872265764,3.30762642540366e-11,0.0883916866401102,1.10549315948312e-05,13.3559780886046,87.7890185111197,42.6009296021635
35,68.8078520045818,203.41763625717,2.83848748042536e-11,0.137484977920716,4.01701234301628e-05,13.5006170248774,88.3506523129519,43.1625634039957
43,82.8908018660144,161.370291315384,1.01548671774337e-11,0.277557268943382,1.69953349560819e-05,13.6841152855733,88.7865737767168,43.5984848677606
89,97.0075291442247,208.896246812637,2.57783360070112e-11,0.0649171082671336,2.32758843783018e-05,13.8898963307651,88.8876890018301,43.6996000928739
4,43.0133987963313,129.0547684996,5.48556304825981e-11,0.339983704582746,4.46855459289778e-06,12.7500241307111,89.1808599238535,43.9927710148973
