id,N0,F,S,nLL,delta
52,5.03666258517974,1.72035644853442e-05,0.834317079882391,27.2740640447614,0
63,32.205681315272,1.86697591451405e-05,1.8458300855317,45.2157724082481,17.9417083634867
39,48.8754801668487,2.44940872550206e-05,1.47782658200256,46.1566232929034,18.882559248142
23,13.3660679657319,6.89133124517332e-06,2.6336758909794,49.0518799553729,21.7778159106115
86,68.9366123394874,3.05476474464086e-05,2.07632833797552,49.7557026054157,22.4816385606543
65,52.8715663267984,1.97636958065682e-05,2.54759576947666,52.4579530412584,25.183888996497
92,57.4581240359644,1.80050430381531e-05,2.33154421620419,52.8413215783654,25.567257533604
57,32.753521181134,3.83549395791376e-05,1.77755121422335,54.3120757242879,27.0380116795265
43,8.80566112933977,4.43038292626995e-06,3.5001373050017,54.857381739867,27.5833176951056
91,67.3961031793442,3.53087837781687e-05,3.27020015922518,56.3960729878092,29.1220089430478
74,6.14999390189916,2.14500063518494e-05,3.7320534290382,56.7778699331428,29.5038058883814
44,93.9805218577448,4.4134008828464e-05,3.11227946149305,58.8368284826258,31.5627644378644
93,34.3026812601529,2.35753922589324e-06,4.30141864218428,61.077966568089,33.8039025233276
13,28.8686051169728,2.85018615236946e-05,4.40540903200053,61.1051111073148,33.8310470625534
90,60.3611249315691,2.69179529385346e-06,4.07976593189665,61.5487055831831,34.2746415384217
37,12.7076233052631,9.28259714372495e-07,4.88211209189654,63.125669296491,35.8516052517297
47,99.7875363907861,3.42558862567684e-05,4.64874279907292,63.5711908491668,36.2971268044054
76,11.857987802088,4.29743464131901e-05,2.90883209360617,64.016692966196,36.7426289214346
89,19.7093541894214,3.34343157352843e-05,5.28025736558707,65.9090617834523,38.6349977386909
84,79.2856794989266,4.3245192271505e-05,5.04686927688856,66.1058696284952,38.8318055837338
45,1.63313705612124,3.26548134526775e-05,3.97026873240795,66.6750270157533,39.4009629709919
99,79.061404244564,2.59082647864915e-05,5.64725758582363,67.6343567044604,40.360292659699
15,92.0756513135437,4.20403880923248e-05,5.58736448502642,68.0235444203245,40.7494803755631
58,14.0356195013418,1.07201180896891e-05,6.07041215844233,68.3631355065041,41.0890714617427
48,69.5168700793324,3.65145745088259e-05,5.84084954891767,68.3914736047719,41.1174095600105
7,2.87314409951243,2.19980456086383e-05,6.2101909224643,69.5111894722758,42.2371254275144
64,6.94603539681724,3.19954957798628e-06,6.98799261447743,71.7178080534822,44.4437440087208
28,4.08510005315524,2.70614273092761e-05,6.782295596674,71.8039015271883,44.5298374824269
30,37.2512562343766,2.26209506732635e-05,7.29032942985712,73.073712734963,45.7996486902016
79,16.7306960315326,4.83585401417467e-05,6.41101154344468,73.2967135325959,46.0226494878345
26,55.5212692518286,4.70712866710477e-05,7.12124575792335,73.9544088844775,46.6803448397161
19,90.2531029433451,3.71183357561678e-05,7.58962032554986,74.4919115108599,47.2178474660984
24,83.0028565536802,4.10388252738077e-05,7.6492948425166,74.8551281540357,47.5810641092743
53,74.762610000334,3.9250903729857e-05,7.83170552538563,75.2889024058351,48.0148383610737
9,64.6109140871393,3.4536879481903e-05,8.00208690283517,75.5858584497463,48.3117944049849
18,42.6699523657746,1.18666822247533e-05,8.35380261565692,76.7378236815315,49.46375963677
40,9.10947361519995,1.49073958537142e-05,8.58966865566831,76.7705419342674,49.496477889506
81,54.6470899865397,3.83527849158363e-06,8.62357632321645,77.6588163132332,50.3847522684718
27,24.5922104154444,2.83705092646391e-05,8.92819976698792,77.9505702883258,50.6765062435644
66,83.224540440136,3.13222453913153e-05,9.26983977732887,79.126504723076,51.8524406783146
32,98.1507956885932,5.17972684485009e-06,9.07096417076526,79.3565149315344,52.082450886773
50,52.4541150164188,2.31289305450373e-05,9.57701076600314,79.821304752712,52.5472407079506
25,66.5071996118362,4.38399618872183e-05,9.67567900241074,80.4977202370407,53.2236561922793
100,21.7986061480277,2.69776312948445e-05,10.0024581996394,80.711216527955,53.4371524831936
35,89.3974575307476,8.89454793576386e-06,9.98061345598581,81.4792971186063,54.2052330738449
97,51.450792191692,3.56555693438889e-05,0.780423708252804,81.5088387789154,54.234774734154
83,39.7269197912742,2.96317150547558e-05,10.3316953651174,81.5938494521614,54.3197854074
17,17.9672653053476,7.94818096171387e-06,10.5667968591642,82.0950750502544,54.821011005493
55,46.4099598515101,1.52874421393743e-05,10.6080189649627,82.4084110500836,55.1343470053222
6,24.7840499455861,4.16474464586299e-05,10.8856270676404,83.3135526140499,56.0394885692885
14,65.3529289705608,4.63862457405016e-05,1.27555365839212,83.6960879709331,56.4220239261717
54,71.4543284614323,6.2169493488827e-06,11.0669969749269,83.7629237501556,56.4888597053942
75,49.8509734507684,1.23541056114629e-05,11.2162586115841,83.8464649421957,56.5724008974343
80,10.6855190974825,2.93877321307053e-05,11.5562184286089,84.3690646690905,57.0950006243291
4,75.5858876381265,1.67102199527352e-05,11.7179584396753,84.9788828850602,57.7048188402988
73,96.9430563742842,4.49007448415042e-08,12.1400355834705,85.6091114155999,58.3350473708385
10,28.6710261626934,4.69959122542603e-05,11.9300787415992,85.7916522396823,58.5175881949209
1,94.1962841806354,4.02866630967436e-05,12.2230305846333,85.9340665126554,58.660002467894
78,88.3973964606567,4.46159198078082e-05,1.10925729026272,86.5915733098394,59.317509265078
68,73.8264329058254,1.01652857010785e-05,12.4723284911808,86.597331739328,59.3232676945666
88,63.8251794322126,4.51859626063973e-05,12.798003489637,87.1875536199803,59.9134895752189
70,29.9633740983746,1.34561887580895e-05,13.0468951405632,87.3633743658555,60.0893103210941
3,73.0828795501429,4.06380637257103e-05,12.9764040691245,87.3884099933985,60.1143459486371
21,97.2812795847188,4.8947894543729e-05,13.2413754533114,88.1218638208241,60.8477997760627
22,61.2736855136031,3.62653953094413e-05,13.5254295080454,88.3167860689586,61.0427220241972
87,45.3838664279122,1.51834077809263e-06,13.7094272206028,88.5841451884842,61.3100811437228
12,23.2857657356244,3.21166897393447e-05,13.8668652338182,88.8633417271416,61.5892776823802
69,40.825070983335,1.55208669979551e-05,14.1230407659495,89.3615905867484,62.087526541987
85,85.1373719927922,2.03093367292152e-05,14.5314666024998,90.1683659126751,62.8943018679137
46,3.1493835058562,3.39830740350339e-05,14.3943721381003,90.1786290059696,62.9045649612082
31,62.1112616052727,2.64846256668369e-05,14.7079169683297,90.343972692663,63.0699086479016
11,54.3894279668561,2.50881840749502e-05,14.9583207337437,90.7489870796526,63.4749230348912
33,17.0959125673612,2.22171202123288e-05,15.0973203452673,90.8787889784423,63.6047249336809
71,70.8515249731641,1.36018567475011e-05,15.2694405164845,91.4264040832179,64.1523400384565
62,36.2466164701832,1.94538126629625e-05,15.5005764714427,91.6048423355258,64.3307782907644
61,20.282908366133,2.05117051988405e-05,15.6204676526648,91.7340254992349,64.4599614544735
49,38.9618585689654,3.99439754348385e-05,15.9413091746721,92.4311967101428,65.1571326653814
20,26.8599158442079,9.09806297731379e-06,16.0196686384136,92.4473489025988,65.1732848578374
29,21.4060157343172,7.40671807426155e-06,16.3316829409491,92.897514217954,65.6234501731926
42,62.9758635295484,1.60815653439106e-05,16.6315479019789,93.4627633034146,66.1886992586532
82,31.5527247359594,4.57734588568094e-05,16.5960419353105,93.5758071515406,66.3017431067792
67,92.5844622070129,4.92622255349678e-05,16.973294351514,94.1081604104679,66.8340963657065
56,56.6778143635293,4.79619210412175e-05,17.0113913646758,94.1824719219181,66.9084078771567
72,88.067529948015,8.20544803468701e-06,17.3237155684326,94.6033171245747,67.3292530798133
16,85.6028186105815,5.67988676723216e-06,17.5253104668613,94.8759044373906,67.6018403926292
38,81.9378496788754,1.42561436662292e-05,17.7625767730641,95.1485429407289,67.8744788959675
36,47.585112029927,3.16042895018021e-05,17.9072677515845,95.1991597864707,67.9250957417093
77,26.1885038386156,2.37484609509829e-05,18.1115100519773,95.4338055342352,68.1597414894738
