id,N0,Linf,K,q,sigma,nLL,delta
95,39.7973233043097,137.706734846073,0.124361974345393,1.45089174354409e-06,1.42615426315423,43.6881648384953,0
65,79.2103273143297,152.684359289674,0.23757920646916,1.62782771445342e-05,0.834331890591403,49.3017952571109,5.61363041861564
53,42.7859744375734,203.028341452455,0.05740811498182,2.45981161334482e-05,2.86651835248817,52.8342006915274,9.14603585303212
29,61.6599267342197,202.311543652426,0.249954214617925,1.82044646416431e-05,2.07696528140358,54.5856369283658,10.8974720898706
10,38.3291619458783,163.370204188193,0.168129508589079,2.53719378069204e-05,3.20893875321748,54.9502748527206,11.2621100142253
72,10.2347045779612,173.252976660418,0.135084179781141,8.43696954368767e-06,3.7451871099248,56.1160109536931,12.4278461151979
66,34.5321154626006,207.222196987807,0.0920504814313991,7.07565357497273e-06,3.5644621071689,57.1168843541233,13.428719515628
89,49.6590187586698,199.570514662717,0.207983064553111,1.04787573294572e-05,2.43948852713916,57.3434944205563,13.655329582061
69,32.5517133920817,140.671957346807,0.173296213854181,4.10202388313485e-06,3.95654408532372,57.8058805739449,14.1177157354496
78,75.2014082245434,155.037435668664,0.21191887169349,2.05651383499748e-05,4.43361694143048,61.4189729070307,17.7308080685354
22,35.2801393340914,168.795825027442,0.178742311358984,4.62832008771334e-06,4.77688873912273,62.5644294287762,18.8762645902809
93,64.1088096166718,155.903456375595,0.0868344811616771,1.30495300600162e-05,4.85789273090794,62.8532431946154,19.1650783561201
8,5.36024938942517,206.036034948398,0.156602665572213,1.89767351489592e-05,5.45257685358386,65.5029179984819,21.8147531599866
7,27.3329714286421,198.919581750833,0.356829883244976,1.76824244834776e-05,5.11610903649371,66.0149110880681,22.3267462495728
67,66.0495630622173,165.389035035501,0.220331517214988,9.2535475154604e-06,6.61021882379401,70.6672273134688,26.9790624749735
81,13.5106606603484,175.701529837607,0.326275662204325,6.40936217149959e-06,4.05006175339228,73.1531892445968,29.4650244061015
46,28.3631609416705,203.68013916174,0.158435777407032,5.71704259830462e-06,7.31259499673056,73.6835079140572,29.9953430755619
82,90.5368665464016,149.815033624448,0.129741412382233,4.45195001059846e-05,6.59708901324738,74.1849693325881,30.4968044940928
19,72.0823561219228,187.721027442024,0.271116044972842,8.68737586672418e-06,7.90762040779441,75.3693357593653,31.68117092087
54,54.5225078648257,195.528475439881,0.389643073119317,3.44751911642318e-05,5.8535865513204,75.4074756463774,31.7193108078821
86,39.4366253542497,166.531417035853,0.199365054497654,3.09073545554835e-05,8.19062985608396,76.3237409768461,32.6355761383508
42,67.3654735015564,159.136839971469,0.0687987218096644,3.47397811562396e-06,8.59403103067515,76.793940067351,33.1057752288558
